Umfang	ALS	ULS	TLS	Höhe Krone	ALS	ULS	TLS	Höhe Baum	ALS	ULS	TLS	Krone Durchmesser	ALS	ULS	TLS
39.2	50			1.7	4.1							8	8.213562		
39.2		50		1.7		1.4						8		7.619273	
39.2		21.090702		1.7		1.4						8		7.556484	
39.2		31.168514		1.7		4.8						8		5.7893095	
38.1	25.903606			17.5	1.6							7.6	6.0094595		
38.1		33.68699		17.5		1.5						7.6		5.9208226	
38.1		25.348097		17.5		11.8						7.6		5.727542	
38.1		35.77676		17.5		1.4						7.6		5.313336	
47.7	50			0.6	2							12.8	11.110614		
47.7		32.11709		0.6		1.4						12.8		10.72527	
47.7		50.861336		0.6		1.4						12.8		10.402155	
47.7		45.493294		0.6		1.4						12.8		9.58366	
23.1	50			0.1	2							6.4	3.8327155		
23.1		37.762962		0.1		1.5						6.4		4.41879	
23.1		45.601364		0.1		1.4						6.4		4.173789	
23.1		27.213427		0.1		1.5						6.4		3.4581745	
20.9	50			0.2	2							7.3	5.027729		
20.9		28.092299		0.2		1.4						7.3		4.835499	
20.9		31.85994		0.2		1.4						7.3		4.3528028	
20.9		31.842625		0.2		1.4						7.3		4.8268166	
14.4	50			0.6	4.6							7.1	4.3748617		
14.4		50		0.6		2						7.1		5.4473615	
14.4		44.67531		0.6		1.7						7.1		5.4398093	
14.4		17.68178		0.6		2.4						7.1		4.2288876	
28.4	50			0.8	2.9							6.8	5.4803653		
28.4		50		0.8		1.5						6.8		5.624451	
28.4		28.57248		0.8		1.5						6.8		5.216844	
28.4		26.843002		0.8		1.4						6.8		4.3745365	
40.9	50			0.9	2							7.9	7.225688		
40.9		50		0.9		1.9						7.9		7.396329	
40.9		20.913973		0.9		2.1000001						7.9		7.3662004	
40.9		22.778524		0.9		1.4						7.9		6.430645	
24.3	50			1	4.3							9.6	6.860581		
24.3		50		1		2.1000001						9.6		6.616996	
24.3		20.119463		1		2.2						9.6		6.436481	
24.3		16.225718		1		3.8						9.6		5.5086937	
28.4	23.20927			1.6	1.6							13.5	10.866567		
28.4		26.481842		1.6		1.4						13.5		11.065333	
28.4		36.78524		1.6		1.4						13.5		10.915944	
